image_id,file_name,gt,pred,tp,fp,fn,mean_conf
10977,000000010977.jpg,2,4,2,2,0,0.5177609920501709
10995,000000010995.jpg,1,2,1,1,0,0.4649091958999634
11051,000000011051.jpg,3,3,3,0,0,0.8689953684806824
11122,000000011122.jpg,1,3,1,2,0,0.4988790452480316
11149,000000011149.jpg,5,8,4,4,1,0.6243640184402466
11197,000000011197.jpg,16,20,10,10,6,0.5252914428710938
11511,000000011511.jpg,10,10,6,4,4,0.5963642597198486
11615,000000011615.jpg,1,1,0,1,1,0.6012749075889587
11699,000000011699.jpg,6,8,4,4,2,0.6001191139221191
11760,000000011760.jpg,3,3,3,0,0,0.9451692700386047
11813,000000011813.jpg,2,4,1,3,1,0.3902961015701294
12062,000000012062.jpg,4,5,3,2,1,0.6951764822006226
12120,000000012120.jpg,24,11,7,4,17,0.620104968547821
12280,000000012280.jpg,5,7,3,4,2,0.6002956032752991
12576,000000012576.jpg,15,22,12,10,3,0.5747478008270264
12639,000000012639.jpg,15,18,11,7,4,0.5382490158081055
12667,000000012667.jpg,1,2,1,1,0,0.6340558528900146
12670,000000012670.jpg,28,11,8,3,20,0.4635878801345825
12748,000000012748.jpg,3,2,2,0,1,0.9047284126281738
13004,000000013004.jpg,2,1,0,1,2,0.446103036403656
13177,000000013177.jpg,3,5,3,2,0,0.5967965722084045
13201,000000013201.jpg,2,2,2,0,0,0.8989426493644714
13291,000000013291.jpg,8,8,8,0,0,0.8738601207733154
13348,000000013348.jpg,12,4,4,0,8,0.4655229449272156
13546,000000013546.jpg,8,9,7,2,1,0.5601322650909424
13597,000000013597.jpg,2,1,1,0,1,0.8724086880683899
13659,000000013659.jpg,18,33,15,18,3,0.5718186497688293
13729,000000013729.jpg,11,12,7,5,4,0.5619099736213684
13774,000000013774.jpg,2,2,2,0,0,0.7993184328079224
13923,000000013923.jpg,19,16,9,7,10,0.5121484398841858
14007,000000014007.jpg,2,2,2,0,0,0.6902118921279907
14038,000000014038.jpg,24,20,8,12,16,0.41026049852371216
14226,000000014226.jpg,8,6,3,3,5,0.5736044645309448
14380,000000014380.jpg,2,1,1,0,1,0.8303805589675903
14439,000000014439.jpg,20,24,17,7,3,0.5569037199020386
14473,000000014473.jpg,8,9,8,1,0,0.7015171647071838
14831,000000014831.jpg,2,0,0,0,2,0.0
14888,000000014888.jpg,1,4,0,4,1,0.5703845024108887
15079,000000015079.jpg,3,4,3,1,0,0.7988440990447998
15254,000000015254.jpg,8,8,4,4,4,0.7321187257766724
15272,000000015272.jpg,1,1,1,0,0,0.8569705486297607
15278,000000015278.jpg,1,6,1,5,0,0.43565335869789124
15335,000000015335.jpg,15,4,4,0,11,0.7050159573554993
15338,000000015338.jpg,5,8,4,4,1,0.4686717391014099
15440,000000015440.jpg,3,4,1,3,2,0.6337271332740784
15497,000000015497.jpg,3,2,2,0,1,0.6195061206817627
15517,000000015517.jpg,13,8,6,2,7,0.6327487230300903
15597,000000015597.jpg,3,2,2,0,1,0.9150750637054443
15660,000000015660.jpg,7,6,6,0,1,0.7496233582496643
15746,000000015746.jpg,1,1,1,0,0,0.9810265302658081
15751,000000015751.jpg,4,4,1,3,3,0.4995114207267761
15956,000000015956.jpg,4,5,2,3,2,0.605490505695343
16010,000000016010.jpg,5,8,1,7,4,0.6013128757476807
16228,000000016228.jpg,20,17,11,6,9,0.5269589424133301
16249,000000016249.jpg,11,12,7,5,4,0.645734965801239
16439,000000016439.jpg,2,9,2,7,0,0.5334359407424927
16451,000000016451.jpg,12,12,6,6,6,0.5626344084739685
16502,000000016502.jpg,1,1,1,0,0,0.9503853917121887
16598,000000016598.jpg,3,2,2,0,1,0.8402771949768066
16958,000000016958.jpg,8,8,6,2,2,0.6906474828720093
17029,000000017029.jpg,4,5,4,1,0,0.7267831563949585
17031,000000017031.jpg,1,2,1,1,0,0.7647103071212769
17115,000000017115.jpg,2,2,2,0,0,0.9159649014472961
17178,000000017178.jpg,5,5,3,2,2,0.8522826433181763
17182,000000017182.jpg,8,3,1,2,7,0.47896960377693176
17207,000000017207.jpg,5,5,4,1,1,0.7178414463996887
17379,000000017379.jpg,5,3,3,0,2,0.844170093536377
17436,000000017436.jpg,3,2,2,0,1,0.7487615346908569
17627,000000017627.jpg,16,16,12,4,4,0.6076072454452515
17714,000000017714.jpg,17,9,7,2,10,0.5449318289756775
17899,000000017899.jpg,11,14,5,9,6,0.6098257899284363
17905,000000017905.jpg,3,3,2,1,1,0.6851186752319336
17959,000000017959.jpg,24,12,6,6,18,0.5409387946128845
18150,000000018150.jpg,7,5,4,1,3,0.7599349617958069
18193,000000018193.jpg,3,5,1,4,2,0.5910832285881042
18380,000000018380.jpg,53,41,34,7,19,0.5661199688911438
18491,000000018491.jpg,14,12,10,2,4,0.6619497537612915
18519,000000018519.jpg,1,1,1,0,0,0.9090128540992737
18575,000000018575.jpg,8,9,5,4,3,0.5832704901695251
18737,000000018737.jpg,1,1,1,0,0,0.8728715181350708
18770,000000018770.jpg,2,3,2,1,0,0.5316954255104065
18833,000000018833.jpg,1,2,1,1,0,0.4345739483833313
18837,000000018837.jpg,8,6,5,1,3,0.6752884984016418
19042,000000019042.jpg,3,4,1,3,2,0.516131579875946
19109,000000019109.jpg,27,30,19,11,8,0.5349317789077759
19221,000000019221.jpg,2,2,2,0,0,0.841477632522583
19402,000000019402.jpg,3,3,1,2,2,0.691079318523407
19432,000000019432.jpg,15,26,15,11,0,0.600972056388855
19742,000000019742.jpg,1,4,1,3,0,0.49118465185165405
19786,000000019786.jpg,6,5,2,3,4,0.5441886186599731
19924,000000019924.jpg,2,2,2,0,0,0.8525009155273438
20059,000000020059.jpg,2,2,2,0,0,0.9474687576293945
20107,000000020107.jpg,1,1,1,0,0,0.9756022691726685
20247,000000020247.jpg,2,3,2,1,0,0.6873774528503418
20333,000000020333.jpg,3,3,3,0,0,0.7214139103889465
20553,000000020553.jpg,11,8,4,4,7,0.4529092311859131
20571,000000020571.jpg,12,12,5,7,7,0.5043712854385376
20992,000000020992.jpg,2,3,2,1,0,0.7980784773826599
21167,000000021167.jpg,4,4,4,0,0,0.8817869424819946
21465,000000021465.jpg,2,7,2,5,0,0.5395349860191345
21503,000000021503.jpg,8,7,1,6,7,0.7178635597229004
21604,000000021604.jpg,2,2,2,0,0,0.7598996162414551
21839,000000021839.jpg,15,12,9,3,6,0.5656266808509827
21879,000000021879.jpg,7,8,7,1,0,0.617943525314331
21903,000000021903.jpg,3,3,3,0,0,0.8601727485656738
22192,000000022192.jpg,3,4,2,2,1,0.5429044961929321
22371,000000022371.jpg,4,4,4,0,0,0.7862318158149719
22396,000000022396.jpg,1,1,1,0,0,0.9314255118370056
22479,000000022479.jpg,4,2,2,0,2,0.891069769859314
22589,000000022589.jpg,2,3,2,1,0,0.866600751876831
22623,000000022623.jpg,1,1,0,1,1,0.2978064715862274
22705,000000022705.jpg,5,5,4,1,1,0.7315448522567749
22755,000000022755.jpg,4,5,1,4,3,0.4076610505580902
22892,000000022892.jpg,5,3,2,1,3,0.6730814576148987
22935,000000022935.jpg,3,3,3,0,0,0.9311363697052002
22969,000000022969.jpg,2,2,2,0,0,0.9283168911933899
23023,000000023023.jpg,2,4,2,2,0,0.6141505837440491
23034,000000023034.jpg,5,7,5,2,0,0.6515082120895386
23126,000000023126.jpg,3,2,2,0,1,0.8398642539978027
23230,000000023230.jpg,4,5,4,1,0,0.6519573330879211
23272,000000023272.jpg,2,4,2,2,0,0.4696788191795349
23359,000000023359.jpg,2,8,1,7,1,0.41837525367736816
23666,000000023666.jpg,1,1,1,0,0,0.956546425819397
23751,000000023751.jpg,1,5,1,4,0,0.5091974139213562
23781,000000023781.jpg,7,7,6,1,1,0.7431177496910095
23899,000000023899.jpg,9,13,2,11,7,0.4369714558124542
23937,000000023937.jpg,6,8,3,5,3,0.4580312967300415
24021,000000024021.jpg,26,7,3,4,23,0.3158029019832611
24027,000000024027.jpg,3,6,3,3,0,0.524736762046814
24144,000000024144.jpg,1,2,1,1,0,0.6437602043151855
24243,000000024243.jpg,18,8,8,0,10,0.5449212193489075
24567,000000024567.jpg,9,11,8,3,1,0.739442765712738
24610,000000024610.jpg,16,9,7,2,9,0.636148989200592
24919,000000024919.jpg,2,2,2,0,0,0.7024959325790405
25057,000000025057.jpg,4,3,3,0,1,0.9142851233482361
25096,000000025096.jpg,6,5,3,2,3,0.6411296129226685
25139,000000025139.jpg,2,3,2,1,0,0.5605330467224121
25181,000000025181.jpg,9,3,3,0,6,0.7068769335746765
25228,000000025228.jpg,2,2,2,0,0,0.7660222053527832
25386,000000025386.jpg,8,10,4,6,4,0.4888184070587158
25393,000000025393.jpg,9,8,6,2,3,0.7096797823905945
25394,000000025394.jpg,24,30,13,17,11,0.5885541439056396
25424,000000025424.jpg,3,4,3,1,0,0.6454465389251709
25560,000000025560.jpg,4,5,4,1,0,0.7001568078994751
25603,000000025603.jpg,23,20,15,5,8,0.6567232608795166
25986,000000025986.jpg,18,10,5,5,13,0.5114826560020447
26204,000000026204.jpg,13,11,8,3,5,0.7133468389511108
26465,000000026465.jpg,6,6,4,2,2,0.7489320635795593
26564,000000026564.jpg,19,47,17,30,2,0.4516071081161499
26690,000000026690.jpg,15,12,10,2,5,0.5179040431976318
26926,000000026926.jpg,3,4,3,1,0,0.5588905215263367
26941,000000026941.jpg,10,21,10,11,0,0.578403115272522
27186,000000027186.jpg,4,3,2,1,2,0.8150622248649597
27620,000000027620.jpg,7,6,6,0,1,0.7150583267211914
27696,000000027696.jpg,4,4,2,2,2,0.6083250641822815
27768,000000027768.jpg,9,6,5,1,4,0.5065690875053406
27932,000000027932.jpg,1,1,0,1,1,0.371236115694046
27972,000000027972.jpg,2,2,2,0,0,0.8309527635574341
27982,000000027982.jpg,2,3,2,1,0,0.6919649243354797
28285,000000028285.jpg,1,5,1,4,0,0.46401315927505493
28449,000000028449.jpg,5,10,5,5,0,0.5786515474319458
28452,000000028452.jpg,2,3,2,1,0,0.6649300456047058
28809,000000028809.jpg,4,6,2,4,2,0.563382625579834
28993,000000028993.jpg,15,7,3,4,12,0.48737651109695435
29187,000000029187.jpg,2,3,2,1,0,0.5737726092338562
29393,000000029393.jpg,4,2,2,0,2,0.6726934909820557
29397,000000029397.jpg,2,3,2,1,0,0.6595535278320312
29596,000000029596.jpg,11,11,5,6,6,0.5777435898780823
29640,000000029640.jpg,14,25,6,19,8,0.49018755555152893
29675,000000029675.jpg,4,3,3,0,1,0.9443442225456238
29984,000000029984.jpg,7,8,7,1,0,0.7489333152770996
30213,000000030213.jpg,14,11,7,4,7,0.5835954546928406
30494,000000030494.jpg,2,2,2,0,0,0.6868905425071716
30504,000000030504.jpg,3,4,3,1,0,0.729637086391449
30675,000000030675.jpg,1,1,1,0,0,0.9089317917823792
30785,000000030785.jpg,10,5,2,3,8,0.7115435004234314
30828,000000030828.jpg,5,11,3,8,2,0.4787934124469757
31050,000000031050.jpg,1,4,1,3,0,0.8237448334693909
31093,000000031093.jpg,6,8,3,5,3,0.5115914344787598
31118,000000031118.jpg,17,18,12,6,5,0.5477180480957031
31217,000000031217.jpg,3,3,3,0,0,0.7849757671356201
31248,000000031248.jpg,21,14,7,7,14,0.4840342104434967
31269,000000031269.jpg,3,4,3,1,0,0.6866145730018616
31296,000000031296.jpg,52,49,26,23,26,0.5138481855392456
31322,000000031322.jpg,26,41,19,22,7,0.5147998332977295
31620,000000031620.jpg,10,8,3,5,7,0.5199511051177979
31735,000000031735.jpg,5,7,3,4,2,0.6198830604553223
31749,000000031749.jpg,1,2,1,1,0,0.6547739505767822
31817,000000031817.jpg,6,8,5,3,1,0.46402817964553833
32038,000000032038.jpg,4,3,2,1,2,0.7504065036773682
32081,000000032081.jpg,2,2,2,0,0,0.8627750873565674
32285,000000032285.jpg,1,1,1,0,0,0.853492021560669
32334,000000032334.jpg,10,12,9,3,1,0.6623532176017761
32570,000000032570.jpg,2,2,2,0,0,0.6715990304946899
32610,000000032610.jpg,7,14,6,8,1,0.4902251064777374
32735,000000032735.jpg,4,4,3,1,1,0.7793588638305664
32811,000000032811.jpg,1,3,1,2,0,0.6972081661224365
32817,000000032817.jpg,3,9,3,6,0,0.4792667627334595
32861,000000032861.jpg,2,2,2,0,0,0.8572717905044556
32887,000000032887.jpg,4,2,2,0,2,0.8455371856689453
32901,000000032901.jpg,21,19,14,5,7,0.5680006146430969
32941,000000032941.jpg,13,13,8,5,5,0.5043126344680786
33005,000000033005.jpg,2,2,2,0,0,0.7926502227783203
33104,000000033104.jpg,9,9,5,4,4,0.5402811169624329
33109,000000033109.jpg,9,9,7,2,2,0.5714752078056335
33114,000000033114.jpg,8,7,6,1,2,0.7078884840011597
33221,000000033221.jpg,18,15,11,4,7,0.616915762424469
33368,000000033368.jpg,3,2,2,0,1,0.8608222007751465
33638,000000033638.jpg,8,4,1,3,7,0.7233812808990479
33707,000000033707.jpg,2,2,2,0,0,0.9058371782302856
33759,000000033759.jpg,5,3,3,0,2,0.825371265411377
33854,000000033854.jpg,22,21,15,6,7,0.5146214365959167
34071,000000034071.jpg,2,3,2,1,0,0.7128819823265076
34139,000000034139.jpg,4,5,3,2,1,0.6662556529045105
34205,000000034205.jpg,3,3,1,2,2,0.3335217237472534
34257,000000034257.jpg,6,12,2,10,4,0.3768845498561859
34417,000000034417.jpg,20,21,16,5,4,0.6429407000541687
34452,000000034452.jpg,3,3,3,0,0,0.8577434420585632
34760,000000034760.jpg,4,3,3,0,1,0.8573176860809326
34873,000000034873.jpg,9,10,4,6,5,0.45607680082321167
35062,000000035062.jpg,2,1,1,0,1,0.6534079313278198
35197,000000035197.jpg,3,4,3,1,0,0.683752715587616
35279,000000035279.jpg,9,10,6,4,3,0.6944870352745056
35326,000000035326.jpg,6,3,0,3,6,0.41655412316322327
35682,000000035682.jpg,18,18,14,4,4,0.597100019454956
35770,000000035770.jpg,4,0,0,0,4,0.0
35963,000000035963.jpg,2,4,1,3,1,0.5228157639503479
36494,000000036494.jpg,49,27,16,11,33,0.46734026074409485
36539,000000036539.jpg,3,4,3,1,0,0.7308761477470398
36660,000000036660.jpg,5,6,4,2,1,0.9257783889770508
36678,000000036678.jpg,6,8,6,2,0,0.4965594410896301
36844,000000036844.jpg,14,17,9,8,5,0.5231318473815918
36861,000000036861.jpg,2,3,2,1,0,0.7482598423957825
36936,000000036936.jpg,22,20,10,10,12,0.4950062334537506
37670,000000037670.jpg,3,1,0,1,3,0.7839102149009705
37689,000000037689.jpg,15,21,10,11,5,0.436321884393692
37740,000000037740.jpg,22,12,9,3,13,0.6584513187408447
37751,000000037751.jpg,4,5,3,2,1,0.6471487283706665
37777,000000037777.jpg,14,12,9,3,5,0.43883463740348816
37988,000000037988.jpg,5,5,5,0,0,0.8506265878677368
38048,000000038048.jpg,4,4,3,1,1,0.5582338571548462
38070,000000038070.jpg,1,1,1,0,0,0.8869479298591614
38118,000000038118.jpg,2,1,1,0,1,0.8768856525421143
38210,000000038210.jpg,3,3,2,1,1,0.8456625938415527
38576,000000038576.jpg,4,6,4,2,0,0.8033139109611511
38678,000000038678.jpg,7,9,5,4,2,0.6722905039787292
38825,000000038825.jpg,2,3,2,1,0,0.6806502342224121
38829,000000038829.jpg,12,13,9,4,3,0.6426236033439636
39405,000000039405.jpg,29,14,8,6,21,0.49536988139152527
39477,000000039477.jpg,15,8,5,3,10,0.6086701154708862
39480,000000039480.jpg,2,5,2,3,0,0.5986043214797974
39484,000000039484.jpg,35,25,15,10,20,0.528931200504303
39551,000000039551.jpg,3,3,3,0,0,0.8564116358757019
39670,000000039670.jpg,1,1,1,0,0,0.8308162689208984
39769,000000039769.jpg,6,4,4,0,2,0.7719006538391113
39785,000000039785.jpg,6,4,2,2,4,0.6072726845741272
39914,000000039914.jpg,11,10,9,1,2,0.5714124441146851
39951,000000039951.jpg,5,3,3,0,2,0.8889236450195312
39956,000000039956.jpg,2,5,1,4,1,0.5403948426246643
40036,000000040036.jpg,3,3,2,1,1,0.7419117093086243
40083,000000040083.jpg,11,11,8,3,3,0.6182700395584106
40471,000000040471.jpg,20,5,4,1,16,0.6366952061653137
40757,000000040757.jpg,3,5,3,2,0,0.5193120241165161
41633,000000041633.jpg,3,3,2,1,1,0.4199962615966797
41635,000000041635.jpg,4,3,3,0,1,0.7922069430351257
41872,000000041872.jpg,5,5,5,0,0,0.8213192224502563
41888,000000041888.jpg,3,3,2,1,1,0.7323281168937683
41990,000000041990.jpg,4,5,3,2,1,0.6682916879653931
42070,000000042070.jpg,3,1,1,0,2,0.9409980177879333
42102,000000042102.jpg,3,3,3,0,0,0.8370213508605957
42178,000000042178.jpg,3,0,0,0,3,0.0
42276,000000042276.jpg,2,2,2,0,0,0.7185112237930298
42296,000000042296.jpg,4,4,4,0,0,0.8895552158355713
42528,000000042528.jpg,3,3,2,1,1,0.9083907008171082
42563,000000042563.jpg,1,1,1,0,0,0.6236128211021423
42628,000000042628.jpg,8,6,6,0,2,0.8291354179382324
42889,000000042889.jpg,2,5,2,3,0,0.71190345287323
43314,000000043314.jpg,5,4,2,2,3,0.5232099294662476
43435,000000043435.jpg,5,3,3,0,2,0.6378355622291565
43581,000000043581.jpg,4,4,3,1,1,0.5915626287460327
43737,000000043737.jpg,6,8,4,4,2,0.49952441453933716
43816,000000043816.jpg,5,6,5,1,0,0.7770166397094727
44068,000000044068.jpg,2,2,2,0,0,0.8378297090530396
44195,000000044195.jpg,3,5,3,2,0,0.4956955313682556
44260,000000044260.jpg,6,5,5,0,1,0.6734372973442078
44279,000000044279.jpg,11,5,4,1,7,0.5733045339584351
44590,000000044590.jpg,25,30,22,8,3,0.5848556756973267
44652,000000044652.jpg,1,1,1,0,0,0.9278246164321899
44699,000000044699.jpg,4,4,4,0,0,0.9187406301498413
44877,000000044877.jpg,6,5,3,2,3,0.6912530660629272
45070,000000045070.jpg,2,2,1,1,1,0.7875056266784668
45090,000000045090.jpg,4,5,4,1,0,0.5318655967712402
45229,000000045229.jpg,22,15,5,10,17,0.3677002489566803
45472,000000045472.jpg,6,13,5,8,1,0.6722065806388855
45550,000000045550.jpg,10,13,8,5,2,0.5587854981422424
45596,000000045596.jpg,12,7,6,1,6,0.5050230026245117
45728,000000045728.jpg,2,0,0,0,2,0.0
46031,000000046031.jpg,6,11,6,5,0,0.6273449659347534
46048,000000046048.jpg,4,8,3,5,1,0.5313729047775269
46252,000000046252.jpg,5,6,5,1,0,0.7168933749198914
46378,000000046378.jpg,2,1,1,0,1,0.5788478851318359
46463,000000046463.jpg,3,3,2,1,1,0.5719721913337708
46497,000000046497.jpg,4,5,3,2,1,0.6920850276947021
46804,000000046804.jpg,1,1,1,0,0,0.9367899298667908
46872,000000046872.jpg,6,5,4,1,2,0.7355089783668518
47010,000000047010.jpg,4,7,3,4,1,0.630763828754425
47112,000000047112.jpg,25,13,7,6,18,0.5366993546485901
47121,000000047121.jpg,4,3,3,0,1,0.8864841461181641
47571,000000047571.jpg,3,3,3,0,0,0.7749953269958496
47585,000000047585.jpg,7,11,7,4,0,0.574508011341095
47740,000000047740.jpg,6,4,4,0,2,0.6861449480056763
47769,000000047769.jpg,6,3,3,0,3,0.8237221837043762
47801,000000047801.jpg,7,2,2,0,5,0.9216822385787964
47819,000000047819.jpg,4,4,4,0,0,0.7757114768028259
47828,000000047828.jpg,13,12,10,2,3,0.5123895406723022
48153,000000048153.jpg,2,1,1,0,1,0.6603145003318787
48396,000000048396.jpg,7,7,7,0,0,0.7790071368217468
48504,000000048504.jpg,6,4,4,0,2,0.6158203482627869
48555,000000048555.jpg,6,3,3,0,3,0.7228421568870544
48564,000000048564.jpg,2,2,2,0,0,0.8454371690750122
48924,000000048924.jpg,3,2,1,1,2,0.6898220777511597
49060,000000049060.jpg,7,6,4,2,3,0.6793642640113831
49259,000000049259.jpg,1,2,1,1,0,0.609341561794281
49269,000000049269.jpg,2,2,2,0,0,0.9001909494400024
49759,000000049759.jpg,14,19,13,6,1,0.5736897587776184
49761,000000049761.jpg,17,6,4,2,13,0.7685909867286682
49810,000000049810.jpg,3,2,2,0,1,0.7331298589706421
50006,000000050006.jpg,11,8,2,6,9,0.37072688341140747
50145,000000050145.jpg,11,7,5,2,6,0.5896911025047302
50149,000000050149.jpg,14,9,6,3,8,0.4444318413734436
50165,000000050165.jpg,1,1,1,0,0,0.8846755623817444
50326,000000050326.jpg,3,3,2,1,1,0.6789155006408691
50331,000000050331.jpg,4,5,1,4,3,0.5634793043136597
50380,000000050380.jpg,5,9,5,4,0,0.5797986388206482
50638,000000050638.jpg,2,2,1,1,1,0.5925597548484802
50679,000000050679.jpg,13,10,9,1,4,0.6659636497497559
50811,000000050811.jpg,9,10,6,4,3,0.6384847164154053
50828,000000050828.jpg,4,3,3,0,1,0.8796046376228333
50844,000000050844.jpg,2,6,2,4,0,0.47429195046424866
50896,000000050896.jpg,14,12,11,1,3,0.6395006775856018
50943,000000050943.jpg,2,2,1,1,1,0.5322974920272827
51008,000000051008.jpg,2,5,2,3,0,0.6593450307846069
51309,000000051309.jpg,4,5,4,1,0,0.73553466796875
51314,000000051314.jpg,2,3,2,1,0,0.5979176163673401
51326,000000051326.jpg,1,6,0,6,1,0.7353348731994629
51598,000000051598.jpg,2,1,1,0,1,0.8621047139167786
